"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","301495.8","","","","1"
"2007","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","309161.5","","","","1"
"2008","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","314535.2","","","","1"
"2009","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","311089.2","","","","1"
"2010","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","317802.1","","","","1"
"2011","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","324565.7","","","","1"
"2012","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","328854.6","","","","1"
"2013","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","333047.8","","","","1"
"2014","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","338319.0","","","","1"
"2015","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","341688.0","","","","1"
"2016","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","347197.7","","","","1"
"2017","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","357285.7","","","","1"
"2018","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","367074.8","","","","1"
"2019","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","377043.2","","","","1"
"2000","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","527438.0","","","","1"
"2001","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","536953.5","","","","1"
"2002","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","555154.7","","","","1"
"2003","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","561879.0","","","","1"
"2004","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","577813.7","","","","1"
"2005","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","596629.2","","","","1"
"2006","Ontario","2016A000235","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","608043.8","","","","1"
